21
   1	1s      2   90526
   2	2s      2   16388
   3	2p1/2	2   15711
   4	2p3/2	4   13419
   5	3s      2   3999
   6	3p1/2	2   3696
   7	3p3/2	4   3177
   8	3d3/2	4   2688
   9    3d5/2	6   2580
   10	4s      2   939
   11	4p1/2	2   805.2
   12	4p3/2	4   678.8
   13	4d3/2	2   464
   14	4d5/2	2   440.1
   15	4f5/2	2   162.3
   16	4f7/2	2   157
   17	5s      2   159.3
   18	5p1/2	2   119
   19	5p3/2	2   92.6
   20	5d3/2	2   26.9
   21	5d5/2	2   23.8
   1  3  0  2.82810000E-01  7.48162000E+04
   1  4  0  4.72910000E-01  7.71092000E+04
   1  6  0  5.28820000E-02  8.68357000E+04
   1  7  0  1.02490000E-01  8.73441000E+04
   1  8  0  1.48030000E-03  8.78622000E+04
   1  9  0  1.78200000E-03  8.78622000E+04
   1 11  0  1.26800000E-02  8.97317000E+04
   1 12  0  2.49800000E-02  8.98618000E+04
   1 13  0  3.98030000E-04  9.01100000E+04
   1 14  0  4.78580000E-04  9.01100000E+04
   1 18  0  2.95940000E-03  9.07089000E+04
   1 19  0  5.69621000E-03  9.07345000E+04
   1 20  0  5.54281000E-05  9.07966000E+04
   1 21  0  6.51581000E-05  9.07998000E+04
   1 25  0  1.19860000E-04  9.08234000E+04
   1 26  0  1.92300000E-04  9.08256000E+04
   1  2  2  4.14149000E-03  5.80800000E+04
   1  2  3  6.71230000E-03  5.86880000E+04
   1  2  4  3.50886000E-03  6.10310000E+04
   1  2  5  1.67712000E-03  7.04821000E+04
   1  2  6  1.45261000E-03  7.07633000E+04
   1  2  7  8.28439000E-04  7.12891000E+04
   1  2  8  7.03356000E-05  7.17580000E+04
   1  2  9  5.12118000E-05  7.18700000E+04
   1  2 10  4.24565000E-04  7.35326000E+04
   1  2 11  3.59713000E-04  7.36566000E+04
   1  2 12  2.04981000E-04  7.37868000E+04
   1  2 13  1.87945000E-05  7.39911000E+04
   1  2 14  1.34791000E-05  7.40154000E+04
   1  2 15  4.74630000E-08  7.42821000E+04
   1  2 16  4.74630000E-08  7.42878000E+04
   1  3  3  3.44309000E-04  5.92960000E+04
   1  3  4  6.11717000E-03  6.16390000E+04
   1  3  5  1.18325000E-03  7.10901000E+04
   1  3  6  1.30762000E-04  7.13713000E+04
   1  3  7  1.20966000E-03  7.18971000E+04
   1  3  8  7.22398000E-05  7.23660000E+04
   1  3  9  1.85212000E-04  7.24780000E+04
   1  3 10  2.90197000E-04  7.41406000E+04
   1  3 11  3.14204000E-05  7.42646000E+04
   1  3 12  2.87305000E-04  7.43948000E+04
   1  3 13  1.85103000E-05  7.45991000E+04
   1  3 14  4.77007000E-05  7.46234000E+04
   1  3 15  5.22107000E-07  7.48901000E+04
   1  3 16  8.06877000E-07  7.48958000E+04
   1  4  4  2.61009000E-03  6.39820000E+04
   1  4  5  5.59384000E-04  7.34331000E+04
   1  4  6  1.09201000E-03  7.37143000E+04
   1  4  7  1.06638000E-03  7.42401000E+04
   1  4  8  2.05093000E-04  7.47090000E+04
   1  4  9  1.69628000E-04  7.48210000E+04
   1  4 10  1.33945000E-04  7.64836000E+04
   1  4 11  2.59193000E-04  7.66076000E+04
   1  4 12  2.55497000E-04  7.67378000E+04
   1  4 13  5.32052000E-05  7.69421000E+04
   1  4 14  4.38561000E-05  7.69664000E+04
   1  4 15  9.01793000E-07  7.72331000E+04
   1  4 16  9.49239000E-07  7.72388000E+04
   1  5  5  1.67017000E-04  8.28842000E+04
   1  5  6  2.56528000E-04  8.31654000E+04
   1  5  7  1.33183000E-04  8.36912000E+04
   1  5  8  1.10114000E-05  8.41601000E+04
   1  5  9  7.49896000E-06  8.42721000E+04
   1  5 10  8.42939000E-05  8.59347000E+04
   1  5 11  6.35499000E-05  8.60587000E+04
   1  5 12  3.30340000E-05  8.61889000E+04
   1  5 13  2.94277000E-06  8.63932000E+04
   1  5 14  1.99330000E-06  8.64175000E+04
   1  6  6  1.20083000E-05  8.34466000E+04
   1  6  7  2.22271000E-04  8.39724000E+04
   1  6  8  1.12963000E-05  8.44413000E+04
   1  6  9  2.48691000E-05  8.45533000E+04
   1  6 10  6.29336000E-05  8.62159000E+04
   1  6 11  5.74291000E-06  8.63399000E+04
   1  6 12  5.31096000E-05  8.64701000E+04
   1  6 13  2.94278000E-06  8.66744000E+04
   1  6 14  6.45503000E-06  8.66987000E+04
   1  6 15  4.74636000E-08  8.69654000E+04
   1  6 16  9.49240000E-08  8.69711000E+04
   1  7  7  1.10073000E-04  8.44982000E+04
   1  7  8  3.36511000E-05  8.49671000E+04
   1  7  9  2.69113000E-05  8.50791000E+04
   1  7 10  3.19430000E-05  8.67417000E+04
   1  7 11  5.30647000E-05  8.68657000E+04
   1  7 12  5.28255000E-05  8.69959000E+04
   1  7 13  8.78083000E-06  8.72002000E+04
   1  7 14  7.02462000E-06  8.72245000E+04
