12
   1 1s1/2 2  1.43270000E+04
   2 2s1/2 2  1.92460000E+03
   3 2p1/2 2  1.73090000E+03
   4 2p3/2 4  1.67840000E+03
   5 3s1/2 2  2.92800000E+02
   6 3p1/2 2  2.22200000E+02
   7 3p3/2 4  2.14400000E+02
   8 3d3/2 4  9.50000000E+01
   9 3d5/2 6  9.38000000E+01
  10 4s1/2 2  2.75100000E+01
  11 4p1/2 2  1.46500000E+01
  12 4p3/2 4  1.40000000E+01
   1  3  0  1.88869000E-01  1.25954000E+04
   1  4  0  3.64199000E-01  1.26480000E+04
   1  6  0  2.65729000E-02  1.41050000E+04
   1  7  0  5.18228000E-02  1.41128000E+04
   1  8  0  7.74727000E-05  1.42377000E+04
   1  9  0  1.11000000E-04  1.42377000E+04
   1 11  0  2.33499000E-03  1.43150000E+04
   1 12  0  4.49188000E-03  1.43150000E+04
   1  2  2  2.50649000E-02  1.04754000E+04
   1  2  3  2.80310000E-02  1.06494000E+04
   1  2  4  4.62200000E-02  1.07043000E+04
   1  2  5  7.46432000E-03  1.20995000E+04
   1  2  6  4.23599000E-03  1.21626000E+04
   1  2  7  6.93372000E-03  1.21707000E+04
   1  2  8  3.13821000E-04  1.22824000E+04
   1  2  9  4.05746000E-04  1.22837000E+04
   1  2 10  9.67892000E-04  1.23503000E+04
   1  2 11  4.20560000E-04  1.23643000E+04
   1  2 12  6.81524000E-04  1.23650000E+04
   1  3  3  4.67293000E-03  1.08234000E+04
   1  3  4  1.07352000E-01  1.08783000E+04
   1  3  5  3.49080000E-03  1.22735000E+04
   1  3  6  1.30486000E-03  1.23366000E+04
   1  3  7  1.37050000E-02  1.23447000E+04
   1  3  8  4.20525000E-04  1.24564000E+04
   1  3  9  1.52361000E-03  1.24577000E+04
   1  3 10  4.40592000E-04  1.25243000E+04
   1  3 11  1.28901000E-04  1.25383000E+04
   1  3 12  1.32071000E-03  1.25390000E+04
   1  4  4  5.79975000E-02  1.09332000E+04
   1  4  5  5.77333000E-03  1.23284000E+04
   1  4  6  1.36599000E-02  1.23915000E+04
   1  4  7  1.51016000E-02  1.23996000E+04
   1  4  8  1.87127000E-03  1.25112000E+04
   1  4  9  1.80360000E-03  1.25126000E+04
   1  4 10  7.29062000E-04  1.25792000E+04
   1  4 11  1.32820000E-03  1.25932000E+04
   1  4 12  1.45916000E-03  1.25939000E+04
   1  5  5  5.54395000E-04  1.37237000E+04
   1  5  6  5.37332000E-04  1.37867000E+04
   1  5  7  8.80278000E-04  1.37949000E+04
   1  5  8  3.73884000E-05  1.39065000E+04
   1  5  9  4.70068000E-05  1.39079000E+04
   1  5 10  1.43150000E-04  1.39744000E+04
   1  5 11  5.34117000E-05  1.39884000E+04
   1  5 12  8.65290000E-05  1.39891000E+04
   1  6  6  8.83051000E-05  1.38498000E+04
   1  6  7  1.79728000E-03  1.38579000E+04
   1  6  8  4.19953000E-05  1.39695000E+04
   1  6  9  1.59380000E-04  1.39709000E+04
   1  6 10  6.89185000E-05  1.40374000E+04
   1  6 11  1.72293000E-05  1.40514000E+04
   1  6 12  1.73380000E-04  1.40522000E+04
   1  7  7  1.00439000E-03  1.38661000E+04
   1  7  8  1.99370000E-04  1.39777000E+04
