24
    1 1s1/2 2  9.31060000E+04
    2 2s1/2 2  1.69370000E+04
    3 2p1/2 2  1.62440000E+04
    4 2p3/2 4  1.38160000E+04
    5 3s1/2 2  4.16100000E+03
    6 3p1/2 2  3.85200000E+03
    7 3p3/2 4  3.30100000E+03
    8 3d3/2 4  2.80200000E+03
    9 3d5/2 6  2.68700000E+03
    10 4s1/2 2  9.94000000E+02
    11 4p1/2 2  8.58000000E+02
    12 4p3/2 4  7.24000000E+02
    13 4d3/2 4  5.03000000E+02
    14 4d5/2 6  4.78000000E+02
    17 5s1/2 2  1.81000000E+02
    18 5p1/2 2  1.39000000E+02
    19 5p3/2 4  1.12000000E+02
    15 4f5/2 6  1.93000000E+02
    16 4f7/2 8  1.87000000E+02
    20 5d3/2 4  4.10000000E+01
    21 5d5/2 6  3.80000000E+01
    24 6s1/2 2  1.17150000E+01
    25 6p1/2 2  1.17150000E+01
    26 6p3/2 2  8.43000000E+00
    1  3  0  2.83449000E-01  7.68644000E+04
    1  4  0  4.71838000E-01  7.92929000E+04
    1  6  0  5.29628000E-02  8.92470000E+04
    1  7  0  1.02770000E-01  8.97970000E+04
    1  8  0  1.52239000E-03  9.03073000E+04
    1  9  0  1.82179000E-03  9.04215000E+04
    1 11  0  1.27699000E-02  9.22620000E+04
    1 12  0  2.52079000E-02  9.24000000E+04
    1 13  0  4.13858000E-04  9.26073000E+04
    1 14  0  4.94968000E-04  9.26325000E+04
    1 18  0  2.99139000E-03  9.32883000E+04
    1 19  0  5.75317000E-03  9.33165000E+04
    1 20  0  6.14157000E-05  9.33818000E+04
    1 21  0  7.21227000E-05  9.33855000E+04
    1 25  0  1.85779000E-04  9.34138000E+04
    1 26  0  3.06379000E-04  9.34166000E+04
    1  2  2  4.10923000E-03  5.95880000E+04
    1  2  3  6.74392000E-03  6.02090000E+04
    1  2  4  3.40843000E-03  6.26890000E+04
    1  2  5  1.66758000E-03  7.23784000E+04
    1  2  6  1.46165000E-03  7.26658000E+04
    1  2  7  8.08472000E-04  7.32245000E+04
    1  2  8  6.89943000E-05  7.37025000E+04
    1  2  9  4.94357000E-05  7.38209000E+04
    1  2 10  4.24233000E-04  7.55344000E+04
    1  2 11  3.64105000E-04  7.56617000E+04
    1  2 12  2.01514000E-04  7.58010000E+04
    1  2 13  1.86455000E-05  7.60104000E+04
    1  2 14  1.31433000E-05  7.60365000E+04
    1  2 15  4.54811000E-08  7.63105000E+04
    1  2 16  4.54811000E-08  7.63167000E+04
    1  3  3  3.33942000E-04  6.08300000E+04
    1  3  4  5.89549000E-03  6.33100000E+04
    1  3  5  1.19421000E-03  7.29994000E+04
    1  3  6  1.27021000E-04  7.32868000E+04
    1  3  7  1.17310000E-03  7.38455000E+04
    1  3  8  7.06247000E-05  7.43235000E+04
    1  3  9  1.78728000E-04  7.44419000E+04
    1  3 10  2.94518000E-04  7.61554000E+04
    1  3 11  3.06974000E-05  7.62827000E+04
    1  3 12  2.80596000E-04  7.64220000E+04
    1  3 13  1.83277000E-05  7.66314000E+04
    1  3 14  4.65709000E-05  7.66575000E+04
    1  3 15  5.45739000E-07  7.69315000E+04
    1  3 16  8.18570000E-07  7.69377000E+04
    1  4  4  2.50128000E-03  6.57900000E+04
    1  4  5  5.44360000E-04  7.54794000E+04
    1  4  6  1.05467000E-03  7.57668000E+04
    1  4  7  1.02801000E-03  7.63255000E+04
    1  4  8  1.97329000E-04  7.68035000E+04
    1  4  9  1.62541000E-04  7.69219000E+04
    1  4 10  1.30968000E-04  7.86354000E+04
    1  4 11  2.51768000E-04  7.87627000E+04
    1  4 12  2.48072000E-04  7.89020000E+04
    1  4 13  5.17523000E-05  7.91114000E+04
    1  4 14  4.25223000E-05  7.91375000E+04
    1  4 15  8.64062000E-07  7.94115000E+04
    1  4 16  9.55006000E-07  7.94177000E+04
    1  5  5  1.66445000E-04  8.51688000E+04
    1  5  6  2.59270000E-04  8.54562000E+04
    1  5  7  1.30203000E-04  8.60149000E+04
    1  5  8  1.08236000E-05  8.64929000E+04
    1  5  9  7.27624000E-06  8.66113000E+04
    1  5 10  8.44059000E-05  8.83248000E+04
    1  5 11  6.46217000E-05  8.84521000E+04
    1  5 12  3.25170000E-05  8.85914000E+04
    1  5 13  2.91061000E-06  8.88008000E+04
    1  5 14  1.90997000E-06  8.88269000E+04
    1  6  6  1.16875000E-05  8.57436000E+04
    1  6  7  2.16024000E-04  8.63023000E+04
    1  6  8  1.11418000E-05  8.67803000E+04
    1  6  9  2.40127000E-05  8.68987000E+04
    1  6 10  6.39430000E-05  8.86122000E+04
    1  6 11  5.59400000E-06  8.87395000E+04
    1  6 12  5.19810000E-05  8.88788000E+04
    1  6 13  2.91068000E-06  8.90882000E+04
    1  6 14  6.32136000E-06  8.91143000E+04
    1  6 15  4.54805000E-08  8.93883000E+04
    1  6 16  9.09577000E-08  8.93945000E+04
    1  7  7  1.06737000E-04  8.68610000E+04
    1  7  8  3.26068000E-05  8.73390000E+04
    1  7  9  2.59216000E-05  8.74574000E+04
    1  7 10  3.13786000E-05  8.91709000E+04
    1  7 11  5.18452000E-05  8.92982000E+04
    1  7 12  5.16178000E-05  8.94375000E+04
    1  7 13  8.64063000E-06  8.96469000E+04
    1  7 14  6.82176000E-06  8.96730000E+04
    1  7 15  1.36426000E-07  8.99470000E+04
    1  7 16  1.36426000E-07  8.99532000E+04
    1  8  8  9.09581000E-08  8.78170000E+04
    1  8  9  3.72927000E-06  8.79354000E+04
    1  8 10  2.59223000E-06  8.96489000E+04
    1  8 11  2.59223000E-06  8.97762000E+04
    1  8 12  7.45854000E-06  8.99155000E+04
    1  8 13  4.54806000E-08  9.01249000E+04
    1  8 14  9.55032000E-07  9.01510000E+04
    1  9  9  8.64054000E-07  8.80538000E+04
    1  9 10  1.72808000E-06  8.97673000E+04
    1  9 11  5.36657000E-06  8.98946000E+04
    1  9 12  5.91183000E-06  9.00339000E+04
    1  9 13  9.54998000E-07  9.02433000E+04
    1  9 14  4.54790000E-07  9.02694000E+04
    1 10 10  1.06874000E-05  9.14807000E+04
    1 10 11  1.59176000E-05  9.16081000E+04
    1 10 12  7.82224000E-06  9.17474000E+04
    1 10 13  7.27641000E-07  9.19568000E+04
    1 10 14  4.54804000E-07  9.19828000E+04
    1 11 11  6.82199000E-07  9.17354000E+04
    1 11 12  1.25068000E-05  9.18747000E+04
    1 11 13  6.82199000E-07  9.20841000E+04
    1 11 14  1.40980000E-06  9.21102000E+04
    1 12 12  6.16133000E-06  9.20141000E+04
    1 12 13  1.97887000E-06  9.22235000E+04
    1 12 14  1.52908000E-06  9.22495000E+04
    1 12 15  4.49749000E-08  9.25235000E+04
    1 12 16  4.49749000E-08  9.25297000E+04
    1 13 14  2.40470000E-07  9.24589000E+04
    1 14 14  4.77538000E-08  9.24849000E+04
    2  3  0  1.19790000E-05  6.21000000E+02
    2  4  0  3.70189000E-03  3.10100000E+03
    2  6  0  3.65129000E-02  1.30852000E+04
    2  7  0  3.83129000E-02  1.36379000E+04
    2  8  0  1.38799000E-03  1.41333000E+04
    2  9  0  2.07579000E-03  1.42476000E+04
    2 11  0  9.49786000E-03  1.60600000E+04
    2 12  0  1.09630000E-02  1.62129000E+04
    2 13  0  2.17789000E-04  1.64334000E+04
    2 14  0  3.45599000E-04  1.64586000E+04
    2 18  0  1.96419000E-03  1.67823000E+04
    2 19  0  2.24479000E-03  1.68105000E+04
    2 20  0  2.89539000E-05  1.68758000E+04
    2 21  0  4.57428000E-05  1.68795000E+04
    2 25  0  1.40579000E-04  1.69078000E+04
    2 26  0  1.37649000E-04  1.69106000E+04
    2  3 13  4.64308000E-03  1.25440000E+02
    2  3 14  6.09838000E-03  1.51460000E+02
    2  3 15  1.40430000E-02  4.25500000E+02
    2  3 16  1.86927000E-02  4.31700000E+02
    2  4  8  2.30307000E-01  2.97500000E+02
    2  4  9  2.89083000E-01  4.15900000E+02
    2  4 10  1.83639000E-02  2.12936000E+03
    2  4 11  7.24968000E-03  2.25670000E+03
    2  4 12  1.07864000E-02  2.39604000E+03
    2  4 13  3.13442000E-02  2.60544000E+03
    2  4 14  3.70418000E-02  2.63146000E+03
    2  4 15  2.14337000E-02  2.90550000E+03
    2  4 16  2.66095000E-02  2.91170000E+03
    2  5  5  5.24381000E-03  8.66280000E+03
    2  5  6  1.08284000E-02  8.95020000E+03
    2  5  7  1.66680000E-02  9.50890000E+03
    2  5  8  1.22203000E-02  9.98690000E+03
    2  5  9  1.54811000E-02  1.01053000E+04
    2  5 10  2.27048000E-03  1.18188000E+04
    2  5 11  2.66565000E-03  1.19461000E+04
    2  5 12  4.05387000E-03  1.20854000E+04
    2  5 13  2.73655000E-03  1.22948000E+04
    2  5 14  3.44160000E-03  1.23209000E+04
    2  5 15  2.34847000E-04  1.25949000E+04
    2  5 16  2.54776000E-04  1.26011000E+04
    2  6  6  1.89799000E-05  9.23760000E+03
    2  6  7  2.08768000E-04  9.79630000E+03
    2  6  8  6.77881000E-04  1.02743000E+04
    2  6  9  5.33790000E-03  1.03927000E+04
    2  6 10  1.84959000E-03  1.21062000E+04
    2  6 11  2.49216000E-06  1.22335000E+04
    2  6 12  4.21766000E-05  1.23728000E+04
    2  6 13  1.31902000E-04  1.25822000E+04
    2  6 14  7.59916000E-04  1.26083000E+04
    2  6 15  8.68410000E-05  1.28823000E+04
    2  6 16  3.01553000E-04  1.28885000E+04
    2  7  7  5.86435000E-04  1.03550000E+04
    2  7  8  1.70690000E-03  1.08330000E+04
    2  7  9  1.03824000E-03  1.09514000E+04
    2  7 10  2.79484000E-03  1.26649000E+04
    2  7 11  5.09939000E-05  1.27922000E+04
    2  7 12  2.16817000E-04  1.29315000E+04
    2  7 13  1.58161000E-04  1.31409000E+04
    2  7 14  7.59135000E-05  1.31670000E+04
    2  7 15  1.34772000E-04  1.34410000E+04
