        T(eV),           M0(Ang**2) and  M1(eV/Ang) calculated by Z.Chaoui using prog of BichselCOV 
     418
	  100.000000        2.562715        2.790061
      200.000000        2.248931        2.518288
      300.000000        1.849850        2.306811
      400.000000        1.572031        2.212701
      500.000000        1.365374        2.090888
      600.000000        1.208363        1.974040
      700.000000        1.085052        1.861632
      800.000000    9.863307E-01        1.768256
      900.000000    9.049773E-01        1.680457
	 1000.000000    8.366719E-01        1.596521
     2000.000000    4.887438E-01        1.100666
     3000.000000    3.521590E-01    8.557263E-01
     4000.000000    2.779922E-01    7.070843E-01
     5000.000000    2.310458E-01    6.085266E-01
     6000.000000    1.984842E-01    5.369323E-01
     7000.000000    1.744949E-01    4.822096E-01
     8000.000000    1.560434E-01    4.389566E-01
     9000.001000    1.413857E-01    4.041094E-01
    10000.000000    1.294438E-01    3.752224E-01
    11000.000000    1.195155E-01    3.507285E-01
    12000.000000    1.111237E-01    3.295740E-01
    13000.000000    1.039317E-01    3.110258E-01
    14000.000000    9.769693E-02    2.949617E-01
    15000.000000    9.223647E-02    2.805239E-01
    16000.000000    8.741324E-02    2.677791E-01
    17000.000000    8.312014E-02    2.564405E-01
    18000.000000    7.927257E-02    2.459695E-01
    19000.000000    7.580419E-02    2.365350E-01
    20000.000000    7.266047E-02    2.279884E-01
    21000.000000    6.979660E-02    2.199389E-01
    22000.000000    6.717718E-02    2.128371E-01
    23000.000000    6.477062E-02    2.060710E-01
    24000.000000    6.255234E-02    1.998382E-01
    25000.000000    6.050006E-02    1.938507E-01
    26000.000000    5.859656E-02    1.885170E-01
    27000.000000    5.682532E-02    1.835590E-01
    28000.000000    5.517291E-02    1.787329E-01
    29000.000000    5.362755E-02    1.742236E-01
    30000.000000    5.217919E-02    1.700004E-01
    31000.000000    5.081882E-02    1.660367E-01
    32000.000000    4.953850E-02    1.623087E-01
    33000.000000    4.833134E-02    1.587965E-01
    34000.000000    4.719111E-02    1.554815E-01
    35000.000000    4.611235E-02    1.523483E-01
    36000.000000    4.508990E-02    1.492208E-01
    36999.990000    4.411989E-02    1.464116E-01
    37999.990000    4.319786E-02    1.435921E-01
    38999.990000    4.232067E-02    1.410599E-01
    39999.990000    4.148485E-02    1.385040E-01
    40999.980000    4.068751E-02    1.360680E-01
    41999.980000    3.992618E-02    1.337457E-01
    42999.980000    3.919842E-02    1.316612E-01
    43999.980000    3.850192E-02    1.295352E-01
    44999.980000    3.783472E-02    1.275004E-01
    45999.980000    3.719497E-02    1.255511E-01
    46999.980000    3.658106E-02    1.236821E-01
    47999.970000    3.599144E-02    1.218883E-01
    48999.970000    3.542459E-02    1.201655E-01
    49999.970000    3.487926E-02    1.183908E-01
    50999.970000    3.435420E-02    1.167999E-01
    51999.970000    3.384837E-02    1.152683E-01
    52999.960000    3.336070E-02    1.137931E-01
    53999.960000    3.289013E-02    1.123714E-01
    54999.960000    3.243586E-02    1.108904E-01
    55999.960000    3.199700E-02    1.095684E-01
    56999.960000    3.157290E-02    1.082920E-01
    57999.960000    3.116259E-02    1.069540E-01
    58999.960000    3.076553E-02    1.057630E-01
    59999.950000    3.038108E-02    1.045097E-01
    60999.950000    3.000869E-02    1.033955E-01
    61999.950000    2.964772E-02    1.022183E-01
    62999.950000    2.929771E-02    1.011739E-01
    63999.950000    2.895806E-02    1.000665E-01
    64999.950000    2.862850E-02    9.908670E-02
    65999.950000    2.830831E-02    9.804305E-02
    66999.950000    2.799730E-02    9.703031E-02
    67999.960000    2.769512E-02    9.613706E-02
    68999.960000    2.740121E-02    9.518000E-02
    69999.960000    2.711535E-02    9.433866E-02
    70999.970000    2.683721E-02    9.343297E-02
    71999.970000    2.656643E-02    9.255210E-02
    72999.970000    2.630275E-02    9.169504E-02
    73999.970000    2.604592E-02    9.094547E-02
    74999.980000    2.579562E-02    9.013204E-02
    75999.980000    2.555163E-02    8.933987E-02
    76999.980000    2.531369E-02    8.856790E-02
    77999.980000    2.508169E-02    8.789704E-02
    78999.980000    2.485525E-02    8.716245E-02
    79999.980000    2.463422E-02    8.644619E-02
    80999.980000    2.441845E-02    8.574744E-02
    81999.980000    2.420771E-02    8.506562E-02
    82999.990000    2.400187E-02    8.440005E-02
    83999.990000    2.380072E-02    8.375021E-02
    84999.990000    2.360410E-02    8.311573E-02
    85999.990000    2.341191E-02    8.257129E-02
    87000.000000    2.322397E-02    8.196483E-02
    88000.000000    2.304011E-02    8.137206E-02
    89000.000000    2.286024E-02    8.079272E-02
    90000.000000    2.268421E-02    8.022618E-02
    91000.010000    2.251188E-02    7.967209E-02
    92000.010000    2.234321E-02    7.913014E-02
    93000.010000    2.217799E-02    7.859978E-02
    94000.010000    2.201613E-02    7.808077E-02
    95000.020000    2.185759E-02    7.757279E-02
    96000.020000    2.170226E-02    7.707545E-02
    97000.020000    2.154998E-02    7.658849E-02
    98000.020000    2.140070E-02    7.611149E-02
    99000.020000    2.125436E-02    7.564415E-02
   100000.000000    2.111080E-02    7.511885E-02
   101000.000000    2.096999E-02    7.467060E-02
   102000.000000    2.083189E-02    7.423127E-02
   103000.000000    2.069635E-02    7.380062E-02
   104000.000000    2.056333E-02    7.337839E-02
   105000.000000    2.043277E-02    7.296433E-02
   106000.000000    2.030460E-02    7.255825E-02
   107000.000000    2.017872E-02    7.216002E-02
   108000.000000    2.005509E-02    7.176921E-02
   109000.000000    1.993366E-02    7.132219E-02
   110000.000000    1.981439E-02    7.094623E-02
   111000.000000    1.969720E-02    7.057720E-02
   112000.000000    1.958202E-02    7.021493E-02
   113000.000000    1.946882E-02    6.985934E-02
   114000.100000    1.935756E-02    6.951021E-02
   115000.100000    1.924817E-02    6.910594E-02
   116000.100000    1.914060E-02    6.876936E-02
   117000.100000    1.903481E-02    6.843880E-02
   118000.100000    1.893078E-02    6.811413E-02
   119000.100000    1.882844E-02    6.779514E-02
   120000.100000    1.872774E-02    6.742189E-02
   121000.100000    1.862867E-02    6.711404E-02
   122000.100000    1.853118E-02    6.681150E-02
   123000.100000    1.843525E-02    6.651403E-02
   124000.100000    1.834076E-02    6.616329E-02
   125000.100000    1.824780E-02    6.587595E-02
   126000.100000    1.815625E-02    6.559356E-02
   127000.100000    1.806614E-02    6.531588E-02
   128000.100000    1.797737E-02    6.498549E-02
   129000.100000    1.788994E-02    6.471693E-02
   130000.100000    1.780385E-02    6.445281E-02
   131000.100000    1.771899E-02    6.413672E-02
   132000.100000    1.763540E-02    6.388117E-02
   133000.100000    1.755308E-02    6.362981E-02
   134000.100000    1.747190E-02    6.332713E-02
   135000.100000    1.739191E-02    6.308381E-02
   136000.100000    1.731311E-02    6.284435E-02
   137000.100000    1.723539E-02    6.260887E-02
   138000.100000    1.715876E-02    6.232218E-02
   139000.100000    1.708326E-02    6.209403E-02
   140000.100000    1.700875E-02    6.186938E-02
   141000.100000    1.693529E-02    6.159427E-02
   142000.100000    1.686289E-02    6.137663E-02
   143000.100000    1.679140E-02    6.110900E-02
   144000.100000    1.672096E-02    6.089792E-02
   145000.100000    1.665147E-02    6.069009E-02
   146000.100000    1.658284E-02    6.043281E-02
   147000.100000    1.651518E-02    6.023124E-02
   148000.100000    1.644840E-02    6.003275E-02
   149000.100000    1.638249E-02    5.978518E-02
   150000.100000    1.631745E-02    5.959262E-02
   151000.100000    1.625329E-02    5.940295E-02
   152000.100000    1.618988E-02    5.916441E-02
   153000.100000    1.612734E-02    5.898030E-02
   154000.100000    1.606559E-02    5.874784E-02
   155000.100000    1.600461E-02    5.856904E-02
   156000.100000    1.594439E-02    5.839302E-02
   157000.100000    1.588495E-02    5.816879E-02
   158000.100000    1.582625E-02    5.799776E-02
   159000.100000    1.576827E-02    5.777904E-02
   160000.100000    1.571099E-02    5.761285E-02
   161000.100000    1.565440E-02    5.739938E-02
   162000.200000    1.559850E-02    5.723790E-02
   163000.200000    1.554331E-02    5.707886E-02
   164000.200000    1.548875E-02    5.687263E-02
   165000.200000    1.543486E-02    5.671797E-02
   166000.200000    1.538158E-02    5.651655E-02
   167000.200000    1.532897E-02    5.636618E-02
   168000.200000    1.527694E-02    5.616942E-02
   169000.200000    1.522556E-02    5.602322E-02
   170000.200000    1.517476E-02    5.583093E-02
   171000.200000    1.512454E-02    5.568878E-02
   172000.200000    1.507490E-02    5.554868E-02
   173000.200000    1.502583E-02    5.536250E-02
   174000.200000    1.497731E-02    5.522619E-02
   175000.200000    1.492932E-02    5.504408E-02
   176000.200000    1.488189E-02    5.491157E-02
   177000.200000    1.483497E-02    5.473337E-02
   178000.200000    1.478859E-02    5.460436E-02
   179000.200000    1.474272E-02    5.443008E-02
   180000.200000    1.469734E-02    5.430454E-02
   181000.200000    1.465247E-02    5.413396E-02
   182000.200000    1.460811E-02    5.401178E-02
   183000.200000    1.456419E-02    5.384479E-02
   184000.200000    1.452077E-02    5.372586E-02
   185000.200000    1.447780E-02    5.356235E-02
   186000.200000    1.443528E-02    5.344655E-02
   187000.200000    1.439325E-02    5.328635E-02
   188000.200000    1.435164E-02    5.317364E-02
   189000.200000    1.431048E-02    5.301672E-02
   190000.200000    1.426971E-02    5.290700E-02
   191000.200000    1.422939E-02    5.275325E-02
   192000.200000    1.418950E-02    5.264634E-02
   193000.200000    1.415001E-02    5.249559E-02
   194000.200000    1.411092E-02    5.239156E-02
   195000.200000    1.407222E-02    5.224377E-02
   196000.200000    1.403393E-02    5.214247E-02
   197000.200000    1.399602E-02    5.199758E-02
   198000.200000    1.395849E-02    5.189881E-02
   199000.200000    1.392131E-02    5.175667E-02
   200000.200000    1.388453E-02    5.161614E-02
   201000.200000    1.384812E-02    5.152113E-02
   202000.200000    1.381205E-02    5.138322E-02
   203000.200000    1.377636E-02    5.129068E-02
   204000.200000    1.374100E-02    5.115536E-02
   205000.200000    1.370599E-02    5.106522E-02
   206000.200000    1.367130E-02    5.093245E-02
   207000.200000    1.363700E-02    5.084464E-02
   208000.300000    1.360295E-02    5.071420E-02
   209000.300000    1.356928E-02    5.062870E-02
   210000.300000    1.353591E-02    5.050066E-02
   211000.300000    1.350284E-02    5.037393E-02
   212000.300000    1.347014E-02    5.029155E-02
   213000.300000    1.343771E-02    5.016717E-02
   214000.300000    1.340557E-02    5.008689E-02
   215000.300000    1.337375E-02    4.996467E-02
   216000.300000    1.334220E-02    4.988653E-02
