deltaE	l1	l2	l3	m			
99.2	0	0.32	0.63	0.05			
99.3	0	0.32	0.63	0.05			
99.4	0	0.32	0.63	0.05			
99.5	0	0.32	0.63	0.05			
99.6	0	0.32	0.63	0.05			
99.7	0	0.32	0.63	0.05			
99.8	0	0.32	0.63	0.05			
99.9	0	0.32	0.63	0.05			
100	0	0.32	0.63	0.05			
100.1	0	0.32	0.63	0.05			
100.2	0	0.32	0.63	0.05			
100.3	0	0.32	0.63	0.05			
100.4	0	0.32	0.63	0.05			
100.5	0	0.32	0.63	0.05			
100.6	0	0.32	0.63	0.05			
100.7	0	0.32	0.63	0.05			
100.8	0	0.32	0.63	0.05			
100.9	0	0.32	0.63	0.05			
101	0	0.32	0.63	0.05			
101.1	0	0.32	0.63	0.05			
101.2	0	0.32	0.63	0.05			
101.3	0	0.32	0.63	0.05			
101.4	0	0.32	0.63	0.05			
101.5	0	0.32	0.63	0.05			
101.6	0	0.32	0.63	0.05			
101.7	0	0.32	0.63	0.05			
101.8	0	0.32	0.63	0.05			
101.9	0	0.32	0.63	0.05			
102	0	0.32	0.63	0.05			
102.1	0	0.32	0.63	0.05			
102.2	0	0.32	0.63	0.05			
102.3	0	0.32	0.63	0.05			
102.4	0	0.32	0.63	0.05			
102.5	0	0.32	0.63	0.05			
102.6	0	0.32	0.63	0.05			
102.7	0	0.32	0.63	0.05			
102.8	0	0.32	0.63	0.05			
102.9	0	0.32	0.63	0.05			
103	0	0.32	0.63	0.05			
103.1	0	0.32	0.63	0.05			
103.2	0	0.32	0.63	0.05			
103.3	0	0.32	0.63	0.05			
103.4	0	0.32	0.63	0.05			
103.5	0	0.32	0.63	0.05			
103.6	0	0.32	0.63	0.05			
103.7	0	0.32	0.63	0.05			
103.8	0	0.32	0.63	0.05			
103.9	0	0.32	0.63	0.05			
104	0	0.32	0.63	0.05			
104.1	0	0.32	0.63	0.05			
104.2	0	0.32	0.63	0.05			
104.3	0	0.32	0.63	0.05			
104.4	0	0.32	0.63	0.05			
104.5	0	0.32	0.63	0.05			
104.6	0	0.32	0.63	0.05			
104.7	0	0.32	0.63	0.05			
104.8	0	0.32	0.63	0.05			
104.9	0	0.32	0.63	0.05			
105	0	0.32	0.63	0.05			
105.1	0	0.32	0.63	0.05			
105.2	0	0.32	0.63	0.05			
105.3	0	0.32	0.63	0.05			
105.4	0	0.32	0.63	0.05			
105.5	0	0.32	0.63	0.05			
105.6	0	0.32	0.63	0.05			
105.7	0	0.32	0.63	0.05			
105.8	0	0.32	0.63	0.05			
105.9	0	0.32	0.63	0.05			
